name (english),name (korean),group (english),group (korean),YouTube Channel
NEW,뉴,THEBOYZ,더보이즈,https://www.youtube.com/@THEBOYZofficial/shorts
Q,큐,THEBOYZ,더보이즈,https://www.youtube.com/@THEBOYZofficial/shorts
SangYeon,상연,THEBOYZ,더보이즈,https://www.youtube.com/@THEBOYZofficial/shorts
SunWoo,선우,THEBOYZ,더보이즈,https://www.youtube.com/@THEBOYZofficial/shorts
YoungHoon,영훈,THEBOYZ,더보이즈,https://www.youtube.com/@THEBOYZofficial/shorts
BEOMGYU,범규,TOMORROW_X_TOGETHER,투모로우바이투게더,https://www.youtube.com/@TXT_bighit/shorts
HUENINGKAI,휴닝카이,TOMORROW_X_TOGETHER,투모로우바이투게더,https://www.youtube.com/@TXT_bighit/shorts
SOOBIN,수빈,TOMORROW_X_TOGETHER,투모로우바이투게더,https://www.youtube.com/@TXT_bighit/shorts
TAEHYUN,태현,TOMORROW_X_TOGETHER,투모로우바이투게더,https://www.youtube.com/@TXT_bighit/shorts
YEONJUN,연준,TOMORROW_X_TOGETHER,투모로우바이투게더,https://www.youtube.com/@TXT_bighit/shorts
ASAHI,아사히,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
ChoiHyunSuk,최현석,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
DOYOUNG,도영,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
HARUTO,하루토,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
JIHOON,지훈,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
JunKyu,준규,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
ParkJungWoo,박정우,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
SoJungHwan,소정환,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
YoonJaeHyuk,윤재혁,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
YOSHI,요시,TREASURE,트레저,https://www.youtube.com/@TREASURE/shorts
ChaeWon,채원,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
ChaeYeon,채연,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
DaHyun,다현,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
HaYeon,하연,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
HyeRin,혜린,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
JiWoo,지우,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
JiYeon,지연,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
JooBin,주빈,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Kaede,카에데,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Kotone,코토네,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Lynn,린,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Mayu,마유,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
NaKyoung,나경,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Nien,니엔,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
SeoAh,서아,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
SeoYeon,서연,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
ShiOn,시온,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
SoHyun,소현,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
SooMin,수민,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Sullin,설린,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
Xinyu,신위,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
YeonJi,연지,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
YooYeon,유연,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
YuBin,유빈,tripleS,트리플에스,https://www.youtube.com/@triplescosmos/shorts
CHAEYOUNG,채영,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
DAHYUN,다현,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
JEONGYEON,정연,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
JIHYO,지효,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
MINA,미나,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
MOMO,모모,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
NAYEON,나연,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
SANA,사나,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
TZUYU,쯔위,TWICE,트와이스,https://www.youtube.com/@TWICE/shorts
DOHOON,도훈,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
HANJIN,한진,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
JIHOON,지훈,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
KYUNGMIN,경민,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
SHINYU,신유,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
YOUNGJAE,영재,TWS,투어스,https://www.youtube.com/@TWS_PLEDIS/shorts
Elisia,엘리시아,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
GehleeDangca,젤리당카,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Hyeonju,현주,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Kotoko,코토코,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Nana,나나,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Seowon,서원,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Yoona,윤아,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
Yunha,윤하,UNIS,유니스,https://www.youtube.com/@UNIS_Offcl/shorts
eunha,은하,VIVIZ,비비지,https://www.youtube.com/@viviz.official/shorts
sinb,신비,VIVIZ,비비지,https://www.youtube.com/@viviz.official/shorts
umji,엄지,VIVIZ,비비지,https://www.youtube.com/@viviz.official/shorts
KangSeungYoon,강승윤,WINNER,위너,https://www.youtube.com/@WINNER/shorts
KimJinWoo,김진우,WINNER,위너,https://www.youtube.com/@WINNER/shorts
LeeSeungHoon,이승훈,WINNER,위너,https://www.youtube.com/@WINNER/shorts
SongMinHo,송민호,WINNER,위너,https://www.youtube.com/@WINNER/shorts
BoNa,보나,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
DaWon,다원,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
DaYoung,다영,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
EunSeo,은서,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
Exy,엑시,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
LuDa,루다,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
SeolA,설아,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
SooBin,수빈,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
YeonJung,연정,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
YeoReum,여름,WJSN,우주소녀,https://www.youtube.com/@WJSNofficial/shorts
Doeun,도은,YOUNGPOSSE,영파씨,https://www.youtube.com/@YOUNGPOSSEUP/shorts
Jiana,지아나,YOUNGPOSSE,영파씨,https://www.youtube.com/@YOUNGPOSSEUP/shorts
Jieun,지은,YOUNGPOSSE,영파씨,https://www.youtube.com/@YOUNGPOSSEUP/shorts
Sunhye,선혜,YOUNGPOSSE,영파씨,https://www.youtube.com/@YOUNGPOSSEUP/shorts
Yeonjung,연정,YOUNGPOSSE,영파씨,https://www.youtube.com/@YOUNGPOSSEUP/shorts
HANYUJIN,한유진,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
KIMGYUVIN,김규빈,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
KIMJIWOONG,김지웅,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
KIMTAERAE,김태래,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
PARKGUNWOOK,박건욱,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
RICKY,리키,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
SEOKMATTHEW,석매튜,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
SUNGHAN BIN,성한빈,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
ZHANGHAO,장하오,ZEROBASEONE,제로베이스원,https://www.youtube.com/@ZB1_official/shorts
